,sentence,label,idx
71,The road zigzagged down the hill.,0,71
72,The rope stretched over the pulley.,1,72
73,The weights stretched the rope over the pulley.,1,73
74,The weights kept the rope stretched over the pulley.,0,74
75,Sam cut himself free.,1,75
76,Sam got free by cutting his finger.,1,76
77,Bill cried himself to sleep.,0,77
78,Bill cried Sue to sleep.,1,78
79,Bill squeezed himself through the hole.,1,79
80,Bill sang himself to sleep.,1,80
81,Bill squeezed the puppet through the hole.,1,81
82,Bill sang Sue to sleep.,1,82
83,The elevator rumbled itself to the ground.,1,83
84,"If the telephone rang, it could ring itself silly.",1,84
85,She yelled hoarse.,0,85
86,Ted cried to sleep.,1,86
87,The tiger bled to death.,0,87
88,"He coughed awake and we were all overjoyed, especially Sierra.",1,88
89,"John coughed awake, rubbing his nose and cursing under his breath.",0,89
90,John coughed himself awake on the bank of the lake where he and Bill had their play.,1,90
91,Ron yawned himself awake.,0,91
92,She coughed herself awake as the leaf landed on her nose.,0,92
93,The worm wriggled onto the carpet.,1,93
94,The chocolate melted onto the carpet.,0,94
95,The ball wriggled itself loose.,1,95
96,Bill wriggled himself loose.,0,96
97,Aliza wriggled her tooth loose.,1,97
98,The off center spinning flywheel shook itself loose.,1,98
99,"The more you eat, the less you want.",0,99
100,"If you eat more, you want correspondingly less.",1,100
101,"When you eat more, you want correspondingly less.",1,101
102,"As you eat more, you want correspondingly less.",0,102
103,"The most you want, the least you eat.",1,103
104,"The angrier Sue gets, the more Fred admires her.",1,104
105,"The more that you eat, the less that you want.",0,105
106,"The angrier that Sue gets, the more that Fred admires her.",1,106
107,"I think that the more you eat, the less you want.",0,107
108,"I'm not shocked by the idea that the more you eat, the less you want.",1,108
109,"It is obvious that the more you eat, the less you want.",0,109
110,"It is not entirely clear if the more you eat, the less you want.",0,110
111,"I want to explain exactly why the more you eat, the less you want.",0,111
112,"I demand that the more John eats, the more he pays.",1,112
113,"I demand that the more John eat, the more he pay.",1,113
114,"I demand that John pay more, the more he eats.",0,114
115,"I demand that John pays more, the more he eat.",1,115
116,"You get angrier, the more we eat, don't you.",0,116
117,"You get angrier, the more we eat, don't we.",0,117
118,"The harder it has rained, how much faster a flow that appears in the river?",1,118
119,"The harder it has rained, how much faster a flow appears in the river?",1,119
120,"The harder it rains, how much faster that do you run?",0,120
121,"The harder it rains, how much faster do you run?",1,121
122,"The harder it rains, how much faster a flow do you see in the river?",1,122
123,"The harder it rains, how much faster a flow that do you see in the river?",1,123
124,"When it rains harder, how much faster a flow appears in the river?",1,124
125,"As it rains harder, how much faster a flow appears in the river?",1,125
126,"As it rains harder, how much faster a flow that appears in the river?",0,126
127,"When it rains harder, how much faster a flow that appears in the river?",0,127
128,"How much harder has it rained, the faster a flow you see in the river?",1,128
129,"How much harder has it rained, when you see a faster flow in the river?",0,129
130,"The more John eats, the tighter keep your mouth shut about it.",1,130
131,"The more everyone eat, the more John keeps his big mouth shut about it, OK?",0,131
132,"When John eats more, keep your mouth shut tighter, OK?",1,132
133,"As John eats more, keep your mouth shut tighter, OK?",0,133
134,"Keep your mouth shut tighter, the more John eats, OK?",1,134
135,"Everyone keep your mouth shut tighter, the more John eats, OK?",0,135
136,"I can well imagine the more him eating, the fatter him getting.",1,136
137,Bill can well imagine getting fat.,0,137
138,"Bill can well imagine the more he eats, the fatter getting.",1,138
139,"Fred can well imagine Joe getting fatter, the more he eats.",1,139
140,"It is important the more you eat, the more careful to be.",1,140
141,"It is important for the more you eat, the more careful to be.",0,141
142,"It is important the more you to eat, the more careful to be.",0,142
143,"It is important the more you eat, the more careful you to be.",0,143
144,"It is important the more you eat, the more careful for you to be.",1,144
145,"It is important for the more you to eat, the more careful to be.",1,145
146,"It is important for the more you to eat, the more careful for you to be.",0,146
147,"It is important the more you to eat, the more careful for you to be.",0,147
148,"It is important for the more you eat, the more careful you to be.",1,148
149,"It is important for you to be more careful, the more you eat.",0,149
150,"It is important to be more careful, the more you eat.",1,150
151,I can well imagine quickly Mary answering the question.,1,151
152,I can well imagine with a hatchet Mary destroying the Jeep.,1,152
153,"I can well imagine if he eats more, him getting fat.",0,153
154,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",0,154
155,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",1,155
156,Mary listens to the Grateful Dead and she gets depressed.,1,156
157,"If Mary listens to the Grateful Dead, she gets depressed.",0,157
158,"When Mary listens to the Grateful Dead, she gets depressed.",1,158
159,Mary gets depressed if she listens to the Grateful Dead.,1,159
160,Mary gets depressed when she listens to the Grateful Dead.,0,160
161,"The more she looked at pictures, the angrier Mary got.",1,161
162,"The more pictures Mary looked at, she got angrier and angrier.",0,162
163,Mary gets depressed and she listens to the Grateful Dead.,0,163
164,"The higher the stakes are, the lower his expectations are.",1,164
165,"The higher the stakes, the lower his expectations.",1,165
166,"His expectations are lower, the higher the stakes.",1,166
167,"His expectations are lower, the higher the stakes are.",0,167
168,"His expectations lower, the higher the stakes.",1,168
169,"His expectations lower, the higher the stakes are.",0,169
170,"The more obnoxious Fred is, the less attention you should pay to him.",0,170
171,"The more obnoxious Fred, the less attention you should pay to him.",0,171
172,"The more Fred is obnoxious, the less you should pay attention to him.",1,172
173,"The more obnoxious Fred, the less you should pay attention to him.",1,173
174,His expectations are always lower than mine.,0,174
175,John was lots more obnoxious than Fred was.,0,175
176,"You should always lock your door, no matter how fancy the hotel might be.",0,176
177,"You should always lock your door, no matter how fancy the hotel.",1,177
178,"I don't plan to lock the door, no matter how fancy this hotel is.",0,178
179,"I don't plan to lock the door, no matter how fancy this hotel.",1,179
180,"I'm going out, whatever the weather.",1,180
181,"I'm going out, wherever that hurricane might be.",1,181
182,"I'm going out, wherever that hurricane.",1,182
183,The more examples Mary says that Bill has helped Fred to discover the less I believe her.,0,183
184,The more food Mary knows a man that eats the poorer she gets.,0,184
185,The fatter he goes to a doctor when he gets the more he eats.,0,185
186,"The fatter that that he gets bothers him, the more he eats.",0,186
187,"The more books I ask to whom he will give, the more he reads.",1,187
188,The more people I ask what he will give to the more he reads.,0,188
189,The more carefully he words the letter the safer he'll be.,1,189
190,The more carefully he knows a man that worded the letter the safer he'll be.,0,190
191,"The more geniuses John meets, the angrier he gets.",1,191
192,"The more John meets geniuses, the angrier he gets.",0,192
193,"The more people you say will buy tickets, the happier I'll be.",0,193
194,"The more people you say that will buy tickets, the happier I'll be.",0,194
195,"The more people you say that right after the show opens will buy tickets, the happier I'll be.",1,195
196,"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",0,196
197,"The more he eats, the poorer he knows a woman that gets.",1,197
198,"The more he eats, the fatter he goes to a doctor when he gets.",1,198
199,"The more he eats, the fatter that that he gets really bothers me.",0,199
200,"The more he reads, the more books I wonder to whom he will give.",0,200
201,"The more he reads, the more people I wonder what he will give to.",0,201
202,"The sooner you call, the more carefully I know a man that will word the letter.",0,202
203,"The richer John gets, the more geniuses John meets.",1,203
204,"The richer he gets, the more John meets geniuses.",0,204
205,"The more articles he reads, the fewer people he thinks will go into linguistics.",0,205
206,"The more articles he reads, the fewer people he thinks that will go into linguistics.",1,206
207,"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",1,207
208,"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",1,208
209,"The more people that arrive, the louder that it gets.",1,209
210,"The more people that arrive, the louder it gets.",1,210
211,"The more people you give beer to, the more people that get sick.",1,211
212,"The more people that you give beer to, the more people that get sick.",0,212
213,"The more people arrive, the louder that it gets.",0,213
214,"The more people arrive, the louder it gets.",0,214
215,"The more people that you give beer to, the more people get sick.",1,215
216,The more pictures of John that he buys the more arrogant he becomes.,0,216
217,The more pictures of himself that John buys the more arrogant he becomes.,0,217
218,The man that arrived on the train was my brother.,0,218
219,The man arrived on the train was my brother.,0,219
220,"The more people everyone who likes pays attention to, the happier we all are.",1,220
221,"The later it gets, the more people everyone who likes pays attention to.",0,221
222,"Whenever Bill smokes, Susan hates him all the more.",0,222
223,"Whenever Bill smokes, Susan hates him much more.",1,223
224,"Whenever Bill smokes, Susan hates him far more.",1,224
225,"Whenever Bill smokes, Susan hates him a lot more.",0,225
226,"Once Janet left, Fred became all the crazier.",1,226
227,"Once Janet left, Fred became much crazier.",1,227
228,"Once Janet left, Fred became far crazier.",0,228
229,"Fred became all the crazier, the more often Janet left.",1,229
230,"When Bill smokes, all the more does Susan hate him.",1,230
231,"When Bill smokes, much more does Susan hate him.",0,231
232,"When Bill smokes, all the more Susan hates him.",1,232
233,So much did you eat that everyone gasped.,0,233
234,So fast did you run that everyone gasped.,0,234
235,So intelligent a dog did you buy that everyone gasped.,0,235
236,I know how much you ate.,1,236
237,I know how fast you ran.,1,237
238,I know how intelligent a dog you bought.,0,238
239,He ate so much that he got sick.,1,239
240,So much did he eat that he got sick.,1,240
241,"The more you eat, the more you want.",1,241
242,"You eat the more, the more you want.",0,242
243,"The more you eat, you want the more.",1,243
244,I wonder you ate how much.,0,244
245,I wonder to how many people Bill talks.,0,245
246,"The longer he has to wait, the angrier John gets.",0,246
247,"If he has to wait, John gets angry.",1,247
248,"He gets angry, the longer John has to wait.",1,248
249,He gets angry if John has to wait.,1,249
250,"The more that pictures of him appear in the news, the more embarrassed John becomes.",0,250
251,"The more pictures of himself that appear in the news, the more embarrassed John becomes.",0,251
252,"The more that pictures of himself appear in the news, the more embarrassed John becomes.",0,252
253,"The more pictures of him appear in the news, the more likely John is to get arrested.",0,253
254,"The more pictures of himself appear in the news, the more likely John is to get arrested.",1,254
255,"The more that pictures of him appear in the news, the more likely John is to get arrested.",1,255
256,"The more that pictures of himself appear in the news, the more likely John is to get arrested.",0,256
257,"The more that John gets upset by them, the more that stories about him seem to show up in the news.",1,257
258,"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",0,258
259,"John is more embarrassed, the more pictures of him appear in the news.",1,259
260,"John is more embarrassed, the more pictures of him that appear in the news.",1,260
261,"John is more embarrassed, the more pictures of himself appear in the news.",0,261
262,"John is more embarrassed, the more pictures of himself that appear in the news.",0,262
263,"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",1,263
264,"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.",0,264
265,"If you give him enough opportunity, every senator will succumb to corruption.",1,265
266,You give him enough opportunity and every senator will succumb to corruption.,1,266
267,"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",1,267
268,"If you give any senator enough opportunity, he will succumb to corruption.",0,268
269,You give any senator enough opportunity and he will succumb to corruption.,1,269
270,You give every senator enough opportunity and he will succumb to corruption.,1,270
271,"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.",1,271
272,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.",0,272
273,"The more lobbyists he talks to, the more corrupt every senator seems to become.",1,273
274,"The more lobbyists wine and dine him, the more every senator is susceptible to corruption.",1,274
275,"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.",1,275
276,"Every senator becomes more corrupt, the more lobbyists he talks to.",0,276
277,"Any senator becomes more corrupt, the more lobbyists he talks to.",1,277
278,"He seems to become more corrupt, the more lobbyists any senator talks to.",0,278
279,"He seems to become more corrupt, the more lobbyists every senator talks to.",0,279
280,"Every senator seems to become more corrupt, if he talks to more lobbyists.",0,280
281,"Any senator seems to become more corrupt, if he talks to more lobbyists.",0,281
282,"Any senator seems to become more corrupt, as he talks to more lobbyists.",0,282
283,"He seems to become more corrupt, if any senator talks to more lobbyists.",0,283
284,"He seems to become more corrupt, if every senator talks to more lobbyists.",1,284
285,"He seems to become more corrupt, as every senator talks to more lobbyists.",1,285
286,"He seems to become more corrupt, as any senator talks to more lobbyists.",1,286
287,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters.",0,287
288,This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,1,288
289,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.",0,289
290,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.",1,290
291,Who did you give pictures of to friends of?,1,291
292,It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,0,292
293,"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",1,293
294,"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?",1,294
295,"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?",1,295
296,"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?",0,296
297,"The harder it rains, the faster who runs?",0,297
298,"The louder who talks, the angrier you get?",1,298
299,"The harder that it rains, how much faster a flow do you see in the river?",0,299
300,"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters.",1,300
301,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",0,301
302,"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",1,302
303,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,1,303
304,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.,0,304
305,This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,1,305
306,Those are the folks that you just solve this problem and you'll be able to put them on ice.,0,306
307,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",0,307
308,"This is the problem that you'll beat the competition more easily, the sooner you solve.",1,308
309,John saw the man in the room.,1,309
310,Which room did John see the man in?,0,310
311,Who did John think that Bill claimed that Mary suspected that everybody liked?,0,311
312,John could not visit Sally.,1,312
313,What John could do is not visit Sally.,1,313
314,John couldn't visit Sally.,1,314
315,Why did John leave?,0,315
316,I hit the ball.,0,316
317,You hit the ball.,1,317
318,He hit the ball.,1,318
319,She hit the ball.,0,319
320,They hit the ball.,1,320
321,Am not I going?,1,321
322,I am not going.,1,322
323,Aren't I going?,1,323
324,I aren't going.,0,324
325,"Louise is unhappy, isn't she?",0,325
326,"Louise likes not being happy, doesn't she?",1,326
327,"Not many books survived the fire, did they?",0,327
328,"No books survived the fire, did they?",0,328
329,"He hasn't often paid taxes, has he?",1,329
330,"He can't pay taxes, can he?",1,330
331,She does not see him.,0,331
332,She kept not seeing him.,1,332
333,She could not have been working.,1,333
334,Marianne not left.,0,334
335,Marianne left not.,1,335
336,He could not have been working.,0,336
337,He cannot have been working.,1,337
338,He can simply not have been working.,1,338
339,You must not simply not work.,0,339
340,He may not just not have been working.,0,340
341,He can't have been working.,1,341
342,Can't he have been working?,1,342
343,Can he not have been working?,1,343
344,Can he not have been working?,0,344
345,John wrote books.,1,345
346,John write books.,0,346
347,John wrote books.,0,347
348,John did not write books.,1,348
349,John seems that is nice.,1,349
350,"`` I am so happy '', thought John.",0,350
351,down the hill rolled John.,0,351
352,John kisses often Mary.,0,352
353,John often kisses Mary.,0,353
354,Who do you think Mary said John likes?,0,354
355,Who did you ask whether Mary knows why John likes?,0,355
356,Who do you think that Mary said that John likes?,1,356
357,How do you wonder whether Mary solved the problem?,0,357
358,How do you think that Mary solved the problem?,1,358
359,How do you wonder whether John said that Mary solved the problem?,1,359
360,How do you wonder whether John said Mary solved the problem?,1,360
361,Which problem do you wonder whether John said that Mary solved?,0,361
362,How did you think that Mary solved the problem?,1,362
363,Mary hired someone.,0,363
364,I heard that Mary hired someone.,0,364
365,I resigned because Mary hired someone.,0,365
366,Mary wondered which picture of himself Bill saw?,1,366
367,Which picture of himself does Mary think that John said that Susan likes?,0,367
368,Mary thinks that John said that Susan likes pictures of himself?,1,368
369,"Mary thinks that John said that pictures of himself, Susan likes?",0,369
370,"If you don't believe me, you will the weatherman?",1,370
371,"I rolled up a newspaper, and Lynn did a magazine?",1,371
372,"Kathy likes astronomy, but she doesn't meteorology?",0,372
373,The DA proved Jones guilty and the Assistant DA will prove Smith.,0,373
374,"Mary will believe Susan, and you will Bob.",0,374
375,You might not believe me but you will Bob.,1,375
376,You will Bob believe.,1,376
377,How did you solve the problem?,1,377
378,I wonder who could solve the problem in this way.,0,378
379,How do you wonder who could solve this problem.,0,379
380,No candidate can predict how many people will vote for him.,0,380
381,Every politician is worried when the press starts attacking him.,1,381
382,Which politician appointed the journalist who supported him?,1,382
383,The fact that no candidate was elected shows that he was inadequate.,1,383
384,"John sells books, Mary buys records and Bill V newspapers.",0,384
385,The question of whether John met Mary worries the people who support.,0,385
386,They have left.,1,386
387,Have they left?,1,387
388,Could they have left?,1,388
389,He has often seen Mary.,1,389
390,He I often sees Mary.,0,390
391,He sees often Mary.,1,391
392,Sees he I often Mary?,0,392
393,It seems that it is likely that John will win.,0,393
394,It seems that John is likely to win.,0,394
395,John seems to be likely to win.,0,395
396,John seems that it is likely to win.,1,396
397,John seems will win.,0,397
398,How do you wonder which problem to solve?,1,398
399,How intelligent do you consider John?,0,399
400,How many people do you wonder whether I consider intelligent?,1,400
401,How intelligent do you wonder whether I consider John?,1,401
402,What the hell do you wonder how to say?,1,402
403,He has left.,0,403
404,His book is nice.,0,404
405,Bill saw him.,0,405
406,Bill works with him.,1,406
407,John believes him to be a nice guy.,1,407
408,John considers him a nice guy.,1,408
409,For him to do that would be a mistake.,0,409
410,"With him sick, the team is in trouble.",0,410
411,A man to be in the garden is unlikely.,0,411
412,A man to come is unlikely.,1,412
413,John to call would be unlikely.,1,413
414,This conclusion to be arrived at is surprising.,1,414
415,John believes that he is sick.,0,415
416,John believes that him is sick.,0,416
417,John tries him to win.,0,417
418,John wonders where him to go.,1,418
419,Who do you think that Bill likes?,0,419
420,Who do you think that Bill believes to be innocent?,0,420
421,Who do you think that believes John to be innocent?,1,421
422,Who would you prefer for to win the race?,0,422
423,Someone stole my car.,1,423
424,My car was stolen.,0,424
425,The children eat all chocolate.,1,425
426,John has often kissed Mary.,1,426
427,The kids have all eaten the chocolate.,0,427
428,"In general, he understands what's going on.",1,428
429,It's probable that in general he understands what's going on.,1,429
430,It's probable in general that he understands what's going on.,1,430
431,In general that he understands what's going on is surprising.,0,431
432,I explained how to fix the sink.,0,432
433,I explained how we should fix the sink.,0,433
434,I explained that we should fix the sink.,1,434
435,I explained to fix the sink.,0,435
436,Mickey looked up the reference.,0,436
437,Mickey looked the reference up.,1,437
438,Mickey looked up them.,0,438
439,Mickey teamed up with the women.,1,439
440,Mickey teamed with the women up.,0,440
441,Mickey pointed out that Gary had left.,1,441
442,Mickey pointed that Gary had left out.,1,442
443,Mickey slips up all the time.,0,443
444,Mickey slips all the time up.,0,444
445,What does John think Mary bought?,0,445
446,John thinks what Mary bought.,0,446
447,John wonders what Mary bought.,0,447
448,What does John wonder Mary bought?,1,448
449,Who is he reading a book that criticizes?,1,449
450,What do you remember where we bought?,0,450
451,Who bought what?,0,451
452,Who is reading a book that criticizes who?,0,452
453,Who remembers where we bought what?,1,453
454,I wonder who what bought?,1,454
455,I wonder what who bought?,0,455
456,There aren't many linguistics students here.,0,456
457,I haven't met many linguistics students.,1,457
458,What does every student buy?,0,458
459,I need Sally to be there.,1,459
460,The boat sank to collect the insurance.,1,460
461,The boat was sunk to collect the insurance.,1,461
462,John wants to win.,0,462
463,The bed was unmade.,0,463
464,Headway was unmade.,1,464
465,John was unknown.,1,465
466,John was unknown to be the murderer.,1,466
467,We knew John to be the murderer.,1,467
468,He fed the children.,0,468
469,The children were uneducated.,1,469
470,The children were undisciplined.,0,470
471,I believed these students all to like John.,1,471
472,They tried to all like John.,1,472
473,I believed these students to all like John.,0,473
474,Did he try ever to talk to the student?,1,474
475,Did you believe him ever to have made an effort to talk to the student?,1,475
476,Did he try to ever be attentive to the needs of students?,0,476
477,Did you believe him to ever have made an effort to talk to the student?,0,477
478,work out an analysis that is typical of this view of understood subjects.,0,478
479,They were believed all to be quite diligent.,0,479
480,Was he believed ever to fail students?,1,480
481,There is tending to be more and more discussion of these issues.,0,481
482,John seemed to be a great linguist.,0,482
483,There promises to be a storm tonight.,0,483
484,John strived to be successful.,0,484
485,John wanted to improve his lot in life.,1,485
486,John expected to win.,1,486
487,This book is too dense to be read in one sitting.,1,487
488,There is too likely to be a riot to be a serious discussion of the issues.,1,488
489,John tried.,0,489
490,John remembered.,0,490
491,John is refused.,1,491
492,John forgot.,1,492
493,"Bill seems to be obnoxious, but I don't think that Sam happens.",0,493
494,"Bill seems to be obnoxious, but I don't think that Sam turns out.",0,494
495,"Bill seems to be obnoxious, but I don't think that Sam tends.",1,495
496,They tried all to like John.,0,496
497,They seemed all to like John.,1,497
498,John believes Sally to be polite.,0,498
499,I believe John with all my heart to be a fine person.,0,499
500,John is wanted to win.,0,500
501,John would be liked to win.,1,501
502,We would like John to win.,0,502
503,John would be hated to win.,1,503
504,John would be preferred to be the candidate.,0,504
505,We would prefer John to be the candidate.,1,505
506,I would like for John to win.,1,506
507,I would hate for John to win.,1,507
508,I would prefer for John to be the candidate.,0,508
509,John destroyed the house.,1,509
510,The electrode emitted ions into the medium.,0,510
511,Ions struck the electrode.,1,511
512,The medium contains ions.,1,512
513,The house destroyed John.,0,513
514,Ions left the electrode.,1,514
515,The electrode was left by ions.,1,515
516,The electrode was struck by ions.,0,516
517,The ball lies in the box.,1,517
518,The ball rolled from the bush to the tree.,0,518
519,The box contains the ball.,0,519
520,The tree dropped fruit to the ground.,1,520
521,Fruit hit the ground from the tree.,0,521
522,The stone knocked against the pole into the road.,0,522
523,The stone knocked the pole into the road.,0,523
524,The box contained the ball.,0,524
525,The box gradually contained the ball.,1,525
526,The box at once contained the ball.,1,526
527,The box contained the ball to the ground.,0,527
528,The tree gradually dropped its fruit to the ground.,0,528
529,The tree dropped its fruit to the ground.,0,529
530,Fruit hit the roof.,1,530
531,Fruit hit the roof from the tree.,0,531
532,Fruit at once hit the roof from the tree.,1,532
533,Fruit hit the roof against the ground.,0,533
534,Fruit at once hit the roof against the ground.,0,534
535,Fruit dropped from the tree.,0,535
536,Fruit dropped from the tree from the clouds.,0,536
537,Fruit fell against the house.,1,537
538,Fruit fell against the house against the ground.,0,538
539,The tree changed into an oak.,1,539
540,The tree changed from a maple into an oak.,1,540
541,The maple changed into an oak from a cedar.,0,541
542,The maple changed into an oak from a cedar.,0,542
543,The maple changed into an oak.,0,543
544,The oak developed out of a maple.,1,544
545,The train reached the station.,0,545
546,The branches knocked against the wall.,1,546
547,The child became a man.,1,547
548,The party lasted till midnight.,0,548
549,The dog went crazy.,0,549
550,It struck John that it was so.,1,550
551,It came to John that it was so.,0,551
552,The snake saw into the nest.,0,552
553,Hard work resulted in high grades.,0,553
554,The farm passed to John.,0,554
555,John is touching the wall.,0,555
556,The wall is being touched by John.,1,556
557,A bear occupies the cave.,1,557
558,A bear inhabits the cave.,0,558
559,Water fills the tub.,1,559
560,The electric main joins the house circuit in the basement.,0,560
561,The house circuit is joined by the electric main in the basement.,1,561
562,The fence straddles the sidewalk.,0,562
563,The sidewalk is straddled by the fence.,1,563
564,The man with a book.,1,564
565,Gas escaped the tube.,1,565
566,The terrorist escaped the prison cell.,1,566
567,The prison cell was escaped by the terrorist.,1,567
568,The rolling stone avoided the river.,0,568
569,The river was avoided by the rolling stone.,1,569
570,The agents caught the terrorist.,1,570
571,The sponge soaked up the water.,1,571
572,The tub filled with water.,1,572
573,John received a book.,1,573
574,John learned a lesson.,0,574
575,The parcel reached John.,0,575
576,John received the parcel.,1,576
577,The farm finally got to John after much litigation.,1,577
578,The farm finally reached John after much litigation.,0,578
579,Water filled the cup high.,1,579
580,Water filled the cup.,0,580
581,Water emptied the cup.,0,581
582,The cup filled the water high.,0,582
583,The cup filled of water.,0,583
584,The cup filled with water.,0,584
585,The cup emptied with water.,0,585
586,the barge piled high with logs.,0,586
587,the road blocked with a stone.,0,587
588,the branch dropped bare of its apple.,0,588
589,the logs piled the barge high.,0,589
590,a stone blocked the road.,0,590
591,the bottle drained the liquid free.,1,591
592,the branch dropped its apple free.,1,592
593,Some branches broke off of the tree.,1,593
594,The tree broke off some branches.,1,594
595,The tree dropped some branches.,1,595
596,The tree lost some branches.,1,596
597,Water bubbled out of the kettle.,0,597
598,The kettle bubbled water up.,0,598
599,The kettle bubbled water.,1,599
600,The cup filled water.,0,600
601,The stone knocked the pole into the road.,0,601
602,The tub leaked empty of water.,1,602
603,The stone knocked against the pole into the road.,0,603
604,Hail stones broke the window.,0,604
605,The force of the wind broke the window.,0,605
606,The window broke from hail stones.,1,606
607,The window broke from the force of the wind.,1,607
608,What the force of the wind did to the window was break it.,0,608
609,John hit the stone against the wall.,0,609
610,John hit the wall with the stone.,1,610
611,John tapped some wine from a barrel.,0,611
612,John tapped a barrel of some wine.,0,612
613,John laid the book on the table.,1,613
614,John included his name in the list.,0,614
615,John loaded the bricks onto the truck.,1,615
616,John loaded the truck with bricks.,0,616
617,John fed rice to the baby.,1,617
618,John fed the baby rice.,1,618
619,John fed the baby up with rice.,1,619
620,John fed the baby rice up.,1,620
621,The ball lies completely in the box.,1,621
622,The box completely contains the ball.,0,622
623,The train got to the station fully.,1,623
624,The train reached the station fully.,0,624
625,Press the stamp against the pad completely.,0,625
626,Press the pad with the stamp completely.,0,626
627,Spray the paint onto the wall completely.,0,627
